psql -U voyccom_jhagstrand -d voyccom_mai -c "select id, thai, eng, details from  mai.thaidict where type = 'o' and eng = '' order by level;" >sql/onoeng.out

  id  | thai  | eng |                                                                                                                        details                                                                                                                         
------+-------+-----+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  557 | ทั้ง    |     | all; entire; whole; wholly; both (...and); while
  185 | เกลา  |     | to form into a rough shape; to trim; to clip (e.g. beard, bush)
  188 | เก่า   |     | [of an object] [is] old; antique; decrepit
  191 | เกาะ  |     | island
  206 | แกะ   |     | sheep
 1426 | ติด    |     | [of a person] to become (figuratively) fixated (on something); to think about (something) to an extreme and excessive degree; to be (figuratively) absorbed; to be obsessed (with someone or something); to be crazy or mad about; to be fascinated by
  204 | แก้    |     | to undo; remedy; mend; repair; cure; correct; counteract; rectify; quench; slake; relieve; edit
  186 | เกล้า  |     | head; mind
  246 | ขาด   |     | [is] missing a part; incomplete; fragmented
  247 | ขาด   |     | to tear, rip or become torn or ripped asunder, to separate
  290 | ครู    |     | teacher; instructor
  274 | ไข่    |     | egg
  275 | ไข้    |     | fever; a temperature of the body; sickness
  304 | ค่า    |     | value; price; charge; cost; expense
  306 | คำ    |     | word; term; discourse
  307 | ค่ำ    |     | evening; dusk; sunset time
  322 | ใคร่   |     | to desire; wish; prefer
  312 | คู     |     | ditch; moat
  326 | งู     |     | snake
  329 | โง่    |     | [is] stupid; silly; dumb; foolish; vain
  339 | จะ    |     | [auxiliary verb indicating future tense—must be used with another verb] will; shall
  352 | จำ    |     | to remember; to recall; to memorize; to retain; to recognize; to recollect
  420 | ใช้    |     | to use, to employ or exploit an object; to utilize; to resort to; to implement
  365 | เจ้า   |     | prince; princess; ruler; esteemed person; lord; master; holy being
  366 | เจาะ  |     | to puncture; to bore; to pierce; to punch a hole; to perforate
  359 | จึง    |     | thus; therefore; so
  394 | ชั่ว    |     | [is] bad; evil; wicked
  397 | ชา    |     | [general] tea
  408 | ชี้     |     | to point (out); to indicate a location
  441 | ดับ    |     | to extinguish; put out; vanquish; dead
  443 | ด้าน   |     | [is] callous; hard; hard-hearted; hardened; shameless
  474 | ตรา   |     | brand name; brand; seal; stamp; mark; hallmark; device; decoration; badge
  494 | ตัว    |     | [of a person] self; himself; herself; yourself; themselves; [things] itself
  496 | ตา    |     | eye
  504 | ต่ำ    |     | [is] low; short; depressed; base
  507 | ตี     |     | to beat; hit; strike; or whip
  518 | โต    |     | [is] big; large; grown
  519 | โต๊ะ   |     | table
  531 | ถั่ว    |     | a bean or pea plant; a bean
  540 | ไถ    |     | to plow; thrust; push; to clip hair very short
  510 | ตู้     |     | storage cabinet; post office box; cupboard; locker for luggage; (gym clothing) locker
  802 | พัก    |     | a short while
  563 | ทั่ว    |     | all; entire; complete; whole; throughout
  570 | ทาย   |     | [of a problem] to solve; to answer
  586 | เท    |     | to take away in large numbers; to haul off; to pour
  572 | ท้าย   |     | stern; back; rear end
  596 | แท้    |     | [is] genuine; real; true
  589 | เท่า   |     | [is] equal; equivalent; even; as much as
  598 | แทน   |     | instead
  599 | แทน   |     | substitute; replacement; deputized; representative
 1201 | หยาบ  |     | [is] rude; vulgar; impolite; obscene
 1207 | หลัก   |     | basis; foundation; principle; maxim; doctrine; tenet
  632 | นา    |     | rice farm; rice paddy; grain field
  633 | น่า    |     | [a prefix to a verb or adjective indicating a likely or probable state, as in the English suffix] "-able"
  639 | นำ    |     | to lead or precede
  630 | นับ    |     | to count
  808 | พาล   |     | to fight or quarrel with, accost, pick a fight with, to bully
  792 | พล    |     | low member of military or police force
  793 | พล    |     | general; General [military rank]
  821 | พื้น    |     | [of a room] floor; foundation; slab; underfloor
  828 | เพลิน  |     | joyful; joyous; jovial; enjoyable; pleasurable; carried away
  836 | แพ้    |     | allergic to; have an allergy to
  837 | แพ้    |     | [is] defeated; lost
  845 | ฟ้า    |     | the sky; firmament; heaven
  846 | ไฟ    |     | fire; flame
  847 | ไฟ    |     | electric light; light switch
  852 | ภาพ   |     | existence; state; being; [a suffix corresponding to the English suffix "-dom"]
  825 | เพราะ |     | because; because of; due to; owing to
  895 | เมีย   |     | wife
  905 | ไม้    |     | wood; woods; forest; stick; rod
  915 | ยา    |     | drug; medicine; remedy; medication; having to do with medical treatment
  918 | ยาม   |     | period of time designated as a shift or a watch for a sentinel or watchman
  923 | ยิ่ง    |     | excessively; extremely; very much; even more so
  961 | ร่าง   |     | mesh; structure; grid
  972 | ริม    |     | by; beside; alongside; at the side of
  996 | ไร    |     | [suffix indicating qualification, quantification, or interrogation, as indicated below]
  997 | ไร่    |     | the rai, a unit of land measure
  998 | ไร้    |     | [is] without; lacking; devoid of; in need of
  305 | ค้า    |     | to trade; to do business; to do commerce; to barter; to buy and sell; to vend; to traffic in
 1019 | ลา    |     | to say good-bye; to be on leave; to take one's leave; to bid farewell
 1036 | เลย   |     | [used for emphasis at the end of a statement] "...at all." — "...so much!" — "...extremely!; completely, directly; simply, without doing anything else first; right away
 1038 | เล่า   |     | to relate a story; to tell; to recount; to narrate
 1040 | เลิก   |     | separate from another person; to break up a relationship
 1048 | แล    |     | to look at; to watch; to see; to glance; to take a look
 1054 | โลก   |     | the world; globe
 1011 | ละ    |     | each; every; one at a time; [implying division] per
  425 | ซิ     |     | [a particle which conveys urgency, adding an imperative quality] (this is the way it is or must be)
  245 | ขาด   |     | to miss or be absent from an event
 1124 | สัก    |     | [general] [is] teak
 1150 | สู้     |     | to contend; fight; compete; make an aggressive move
 1151 | สู้     |     | to face; to be against
 1167 | ใส    |     | [is] clear; transparent
 1170 | ไส    |     | to push forward; to shove; to thrust
 1180 | หนี    |     | to escape; elope; hurry away; flee
 1181 | หนี้    |     | debt; liability
 1184 | หนู    |     | mouse; mice; rat
 1196 | หมู่    |     | group; race; flock; herd; crowd; corporation; company; collection; squad; clusters; series; class; genus; rove
 1198 | หยด   |     | [of liquid] a drop
 1199 | หยด   |     | to drip
